;App Name;App Id;Category;Rating;Rating Count;Installs;Minimum Installs;Maximum Installs;Free;Price;Currency;Size;Minimum Android;Developer Id;Developer Website;Developer Email;Released;Last Updated;Content Rating;Privacy Policy;Ad Supported;In App Purchases;Editors Choice;Scraped Time;Big_Category2;App;Image
10;قرأن كامل سعود الشريم بدون نت;com.andromo.dev540689.app522267;Music & Audio;4.7;6807.0;500,000+;500000.0;639785;True;0.0;USD;92M;4.1 and up;free quran mp3;;taoussihind37@gmail.com;Aug 6, 2016;Sep 12, 2020;Everyone;https://sites.google.com/view/freequran/;True;False;False;2021-06-16 09:08:23;Entertainment;قرأن كامل سعود الشريم بدون نت;"[[[0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]
  ...
  [0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]]

 [[0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]
  ...
  [0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]]

 [[0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]
  ...
  [0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]]

 ...

 [[0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]
  ...
  [0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]]

 [[0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]
  ...
  [0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]]

 [[0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]
  ...
  [0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]]]"
11;쉘터;com.shelter.android;Social;3.9;211.0;10,000+;10000.0;16486;True;0.0;USD;4.8M;5.0 and up;쉘터;http://shelter.id;support@shelter.id;Feb 11, 2020;Apr 05, 2021;Teen;https://shelter.id/policies;True;False;False;2021-06-15 21:30:10;Lifestyle;쉘터;"[[[0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]
  ...
  [0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]]

 [[0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]
  ...
  [0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]]

 [[0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]
  ...
  [0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]]

 ...

 [[0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]
  ...
  [0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]]

 [[0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]
  ...
  [0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]]

 [[0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]
  ...
  [0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]]]"
12;Stily;com.improver.stily;Social;4.3;482.0;50,000+;50000.0;59449;True;0.0;USD;14M;6.0 and up;Doğan Medya;https://stily.com.tr;support@stily.com.tr;Nov 5, 2020;Mar 29, 2021;Teen;https://stily.com.tr/privacy-policy.html;False;False;False;2021-06-16 04:02:43;Lifestyle;Stily;"[[[235  40  96]
  [235  40  96]
  [235  40  96]
  ...
  [248  59 113]
  [248  59 113]
  [248  59 113]]

 [[235  40  96]
  [235  40  96]
  [235  40  96]
  ...
  [248  59 113]
  [248  59 113]
  [248  59 113]]

 [[235  40  96]
  [235  40  96]
  [235  40  96]
  ...
  [248  59 113]
  [248  59 113]
  [248  59 113]]

 ...

 [[222  22  79]
  [222  22  79]
  [222  22  79]
  ...
  [235  40  95]
  [235  40  95]
  [235  40  95]]

 [[222  22  79]
  [222  22  79]
  [222  22  79]
  ...
  [235  40  95]
  [235  40  95]
  [235  40  95]]

 [[222  22  79]
  [222  22  79]
  [222  22  78]
  ...
  [235  40  95]
  [235  40  95]
  [235  40  95]]]"
13;Kids Nursery Rhymes / Poems;com.apph.kids.nursery.rhymes.poems;Education;4.1;157.0;10,000+;10000.0;30491;True;0.0;USD;18M;4.1 and up;AppH The I.T Solution;https://ua6a1fe4d.app-ads-txt.com/;khanareesha737@gmail.com;Apr 20, 2019;Mar 22, 2021;Everyone;https://apphtheitsol.wordpress.com/;True;False;False;2021-06-16 07:39:38;Education;;
14;인생대박 키우기;com.pancol.LifeIsGood;Simulation;3.0;130.0;10,000+;10000.0;30244;True;0.0;USD;61M;4.1 and up;PANCOL;https://gamemangle.blogspot.com/;1004hjun@gmail.com;Mar 29, 2019;Jan 18, 2021;Everyone;https://github.com/GoopyPancol/LifeJackpot/blob/master/README.md;True;True;False;2021-06-15 23:36:23;Games;인생대박 키우기;"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]"
15;Jetzy;com.icreon.travelconnect;Travel & Local;4.2;134.0;10,000+;10000.0;11502;True;0.0;USD;14M;5.0 and up;SZ Global Corporation;https://www.jetzyapp.com/;szglobaldeveloper@gmail.com;Aug 28, 2015;May 27, 2020;Teen;https://www.jetzyapp.com/privacy.html;False;False;False;2021-06-15 23:52:42;Lifestyle;Jetzy;"[[[0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]
  ...
  [0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]]

 [[0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]
  ...
  [0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]]

 [[0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]
  ...
  [0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]]

 ...

 [[0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]
  ...
  [0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]]

 [[0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]
  ...
  [0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]]

 [[0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]
  ...
  [0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]]]"
16;Wedding Dress Photo Suit;com.womenwedding.photosuit;Photography;4.0;1881.0;1,000,000+;1000000.0;1192103;True;0.0;USD;5.7M;4.2 and up;FormationApps;http://www.formationapps.com/;care.formationapps@gmail.com;Feb 6, 2019;Sep 09, 2019;Everyone;http://www.formationapps.com/privacy-policy/;True;False;False;2021-06-16 01:11:05;Entertainment;Wedding Dress Photo Suit;"[[[0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]
  ...
  [0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]]

 [[0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]
  ...
  [0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]]

 [[0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]
  ...
  [0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]]

 ...

 [[0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]
  ...
  [0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]]

 [[0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]
  ...
  [0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]]

 [[0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]
  ...
  [0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]]]"
17;gContacts Pro - dialer & contacts app;com.phoneBook.pro;Communication;2.5;2206.0;50,000+;50000.0;69789;False;2.49;USD;2.9M;6.0 and up;y.gphonebook;http://blog.livedoor.jp/gphonebook/;y.gphonebook@gmail.com;Aug 16, 2010;Apr 21, 2019;Everyone;http://blog.livedoor.jp/gphonebook/archives/5339356.html;False;False;False;2021-06-16 13:54:23;Tools;gContacts Pro - dialer & contacts app;"[[[ 26 115 232]
  [ 26 115 232]
  [ 26 115 232]
  ...
  [ 26 115 232]
  [ 26 115 232]
  [ 26 115 232]]

 [[ 26 115 232]
  [ 26 115 232]
  [ 26 115 232]
  ...
  [ 26 115 232]
  [ 26 115 232]
  [ 26 115 232]]

 [[ 26 115 232]
  [ 26 115 232]
  [ 26 115 232]
  ...
  [ 26 115 232]
  [ 26 115 232]
  [ 26 115 232]]

 ...

 [[ 26 115 232]
  [ 26 115 232]
  [ 26 115 232]
  ...
  [ 26 115 232]
  [ 26 115 232]
  [ 26 115 232]]

 [[ 26 115 232]
  [ 26 115 232]
  [ 26 115 232]
  ...
  [ 26 115 232]
  [ 26 115 232]
  [ 26 115 232]]

 [[ 26 115 232]
  [ 26 115 232]
  [ 26 115 232]
  ...
  [ 26 115 232]
  [ 26 115 232]
  [ 26 115 232]]]"
18;Popoky - Foreign languages for everyone;com.techco.peopeo;Education;4.1;199.0;10,000+;10000.0;25143;True;0.0;USD;13M;4.1 and up;Techco.,JSC;http://popoky.com/;popoky@techco.vn;Mar 20, 2020;Oct 12, 2020;Everyone;http://popoky.com/privacy.htm;False;True;False;2021-06-15 23:18:29;Education;Popoky - Foreign languages for everyone;"[[[ 11  89 195]
  [ 11  89 195]
  [ 11  90 196]
  ...
  [ 17 110 238]
  [ 17 110 238]
  [ 17 110 238]]

 [[ 11  89 195]
  [ 11  89 195]
  [ 11  89 196]
  ...
  [ 17 110 238]
  [ 17 110 238]
  [ 17 110 238]]

 [[ 11  89 195]
  [ 11  89 195]
  [ 11  89 195]
  ...
  [ 17 110 238]
  [ 17 110 238]
  [ 17 110 238]]

 ...

 [[ 11  89 195]
  [ 11  89 195]
  [ 11  89 195]
  ...
  [ 16 107 233]
  [ 16 108 234]
  [ 16 109 235]]

 [[ 11  89 195]
  [ 11  89 195]
  [ 11  89 195]
  ...
  [ 15 103 224]
  [ 15 105 228]
  [ 15 106 229]]

 [[ 11  89 195]
  [ 11  89 195]
  [ 11  89 195]
  ...
  [ 14 101 220]
  [ 15 103 224]
  [ 15 104 226]]]"
19;GX Motors;com.fungenerationlab.gxmotors;Racing;4.4;26937.0;1,000,000+;1000000.0;1306138;True;0.0;USD;64M;5.0 and up;FunGenerationLab;http://www.gxmotors.co;support@gxmotors.co;May 1, 2017;Sep 03, 2018;Everyone;http://www.gxmotors.co/privacy/;True;True;False;2021-06-16 05:16:28;Games;GX Motors;"[[[  0   0   0   0]
  [  0   0   0   0]
  [  4   4   4   0]
  ...
  [  0   0   0   0]
  [  0   0   0   0]
  [  0   0   0   0]]

 [[  0   0   0   0]
  [  0   0   0   0]
  [  6   6   6   0]
  ...
  [  0   0   0   0]
  [  0   0   0   0]
  [  0   0   0   0]]

 [[  0   0   0   0]
  [  0   0   0   0]
  [  9   9   9   0]
  ...
  [  0   0   0   0]
  [  0   0   0   0]
  [  0   0   0   0]]

 ...

 [[161  84  47   4]
  [153  90  48   4]
  [128  89  48   4]
  ...
  [112  75  75   4]
  [133  83  86   5]
  [142  90  94   6]]

 [[135  94  75   7]
  [133  95  76   7]
  [124  93  76   7]
  ...
  [108  77  81   5]
  [115  78  85   6]
  [120  81  91   6]]

 [[123  99  86   8]
  [123  98  88   8]
  [120  95  88   8]
  ...
  [104  78  83   6]
  [105  75  85   6]
  [109  77  90   6]]]"
20;GFRIEND Lyrics Offline;noviaprims.gfriend;Entertainment;4.4;108.0;5,000+;5000.0;9525;True;0.0;USD;3.2M;6.0 and up;Prims Chord;;primschord@gmail.com;Jun 26, 2017;May 20, 2021;Everyone;http://primschord.com/privacypolicy/gfriend.pdf;True;False;False;2021-06-16 09:34:22;Entertainment;GFRIEND Lyrics Offline;"[[[0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]
  ...
  [0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]]

 [[0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]
  ...
  [0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]]

 [[0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]
  ...
  [0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]]

 ...

 [[0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]
  ...
  [0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]]

 [[0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]
  ...
  [0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]]

 [[0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]
  ...
  [0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]]]"
21;FPS encounter Strike: Commando shooting games 2020;com.sfgs.fps.commado.counter.shooting.games.strike_2020;Action;3.9;708.0;100,000+;100000.0;159305;True;0.0;USD;Varies with device;4.1 and up;SunShine Free Games Studio;http://freegameswebhosting.com/funshootinfreeggames/;cavezangkom@gmail.com;Aug 19, 2020;Aug 19, 2020;Teen;https://sites.google.com/view/sunshine-freegames/home;True;False;False;2021-06-16 07:24:32;Games;FPS encounter Strike: Commando shooting games 2020;"[[[110 181 232]
  [110 181 232]
  [110 181 232]
  ...
  [157 202 235]
  [172 209 236]
  [178 212 237]]

 [[110 181 232]
  [110 181 232]
  [110 181 232]
  ...
  [167 207 236]
  [183 214 238]
  [190 217 238]]

 [[110 181 233]
  [110 181 233]
  [110 181 233]
  ...
  [190 219 239]
  [207 226 241]
  [213 229 241]]

 ...

 [[201 184 111]
  [201 184 116]
  [201 185 124]
  ...
  [214 203 166]
  [213 201 166]
  [211 199 165]]

 [[193 175  95]
  [194 176 101]
  [196 179 114]
  ...
  [219 209 175]
  [217 207 175]
  [216 206 174]]

 [[190 172  88]
  [192 173  95]
  [195 177 110]
  ...
  [221 212 179]
  [220 211 180]
  [219 210 179]]]"
22;bionoid - binary puzzle fun;com.sorex.binairo;Puzzle;4.6;213.0;10,000+;10000.0;49098;True;0.0;USD;3.0M;2.3 and up;Verschueren Geert;https://www.facebook.com/Bionoid-1761395740842103;geert.verschueren@scarlet.be;Feb 20, 2016;Dec 11, 2018;Everyone;http://money4nothing.be/apps/Binairo/privacy_policy.html;True;True;False;2021-06-16 01:34:22;Games;bionoid - binary puzzle fun;"[[ 2  6 14 ...  8  4  4]
 [ 2  7 16 ...  8  5  4]
 [ 2  7 16 ... 11 10  9]
 ...
 [26 29 35 ... 29 23 20]
 [30 32 36 ... 31 27 25]
 [32 33 36 ... 31 28 25]]"
